DRY_ONLY = YES,,,,,DRY_ONLY = NO,,
California,3-Hourly,Daily,PRISM,,3-Hourly Dry,Daily Dry,Prism Dry
Total Precipitation,59.245,59.245,51.258,,59.245,59.245,51.258
Evaporation Loss,2.697,2.223,1.886,,5.262,5.757,5.432
Infiltration Loss,20.742,23.932,20.269,,20.502,23.829,20.047
Surface Runoff,35.674,32.916,28.927,,33.37,29.488,25.606
Final Storage,0.145,0.177,0.178,,0.126,0.176,0.177
Continuity Error,"0.022
","0.006
","0.007
",,"0.026
","0.009
","0.008
"
,,,,,,,
,,,,,,,
Colorado,3-Hourly,Daily,PRISM,,3-Hourly Dry,Daily Dry,Prism Dry
Total Precipitation,397.46,397.46,363.25,,397.46,397.46,363.25
Evaporation Loss,8.999,5.156,8.619,,6.083,2.605,7.8
Infiltration Loss,313.38,313.38,286.4,,313.38,313.37,286.4
Surface Runoff,64.995,78.719,68.252,,47.995,41.356,49.069
Final Storage,0.222,0.223,0,,0.132,0.144,0
Continuity Error,"0.033
","0.004
","0.007
",,"0.032
","0.005
","0.006
"
,,,,,,,
,,,,,,,
Florida,3-Hourly,Daily,PRISM,,3-Hourly Dry,Daily Dry,Prism Dry
Total Precipitation,3345.4,3345.4,6608.9,,3345.4,3345.4,6608.9
Evaporation Loss,55.095,59.303,44.526,,13.148,14.173,73.676
Infiltration Loss,1343.3,1343.3,2653.7,,1343.3,1343.3,2653.7
Surface Runoff,1647.2,1939.5,3807.6,,890.4,688,2681.2
Final Storage,1.245,3.366,3.439,,0.006,0.005,0.663
Continuity Error,"0.045
","0.003
","0.008
",,"0.044
","0.004
","0.008
"
,,,,,,,
,,,,,,,
Illinois,3-Hourly,Daily,PRISM,,3-Hourly Dry,Daily Dry,Prism Dry
Total Precipitation,16171,16171,14537,,16171,16171,14537
Evaporation Loss,313.47,342.81,649.93,,203.27,100.1,224.26
Infiltration Loss,4188.9,4675.9,3986.2,,4074.7,4624.1,3954.2
Surface Runoff,10683,11145,9903,,8910,7449,7361
Final Storage,0,9.216,0,,0,0,0
Continuity Error,"0.086
","0.009
","0.015
",,"0.103
","0.011
","0.017
"
,,,,,,,
,,,,,,,
Michigan,3-Hourly,Daily,PRISM,,3-Hourly Dry,Daily Dry,Prism Dry
Total Precipitation,5629.3,5629.3,5164.1,,5629.3,5629.3,5164.1
Evaporation Loss,82.428,50.686,94.695,,18.894,54.172,51.985
Infiltration Loss,4236.5,4236.5,3886.4,,4236.5,4236.5,3886.4
Surface Runoff,1211.9,1340.5,1183.4,,976.3,839,826.1
Final Storage,0.665,1.855,0.019,,0.065,0.002,0.017
Continuity Error,"0.041
","0.006
","0.009
",,"0.044
","0.007
","0.009
"
,,,,,,,
,,,,,,,
New York,3-Hourly,Daily,PRISM,,3-Hourly Dry,Daily Dry,Prism Dry
Total Precipitation,55.011,55.011,57.109,,55.011,55.011,57.109
Evaporation Loss,4.108,2.021,3.155,,0.213,2.92,1.259
Infiltration Loss,3.352,3.362,3.49,,3.352,3.362,3.49
Surface Runoff,47.569,49.599,50.459,,41.478,38.734,42.368
Final Storage,0.012,0.034,0.013,,0,0,0
Continuity Error,"0.055
","0.009
","0.015
",,"0.060
","0.010
","0.014
"
,,,,,,,
,,,,,,,
Texas,3-Hourly,Daily,PRISM,,3-Hourly Dry,Daily Dry,Prism Dry
Total Precipitation,28778,28778,33015,,28778,28778,33015
Evaporation Loss,517.6,404.97,795.14,,80.71,997.06,163.51
Infiltration Loss,16401,16401,18815,,16390,16400,18815
Surface Runoff,10882,11975,13408,,9329,8383,11039
Final Storage,0,0,0,,0,0,0
Continuity Error,"0.076
","0.009
","0.012
",,"0.079
","0.010
","0.011
"
