GEOID,NAME,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
31109,Lancaster,54,14,31,20,16,18,23,19,35,13,16,26,20,17,16,21,22
46099,Minnehaha,34,12,40,12,15,20,18,12,17,9,12,13,20,18,12,9,9
39003,Allen,15,12,14,20,10,13,13,9,14,13,10,12,9,19,15,9,19
42007,Beaver,16,9,16,9,9,10,16,16,12,9,11,10,8,12,10,13,7
37037,Chatham,14,39,28,17,10,11,18,10,21,10,13,27,16,11,12,15,15
39085,Lake,14,9,17,11,14,14,13,14,14,12,7,10,14,17,12,8,19
51775,Salem,13,41,40,18,13,13,26,17,35,17,17,24,17,13,23,31,14
51121,Montgomery,12,41,29,16,8,10,15,11,15,10,13,11,11,11,11,10,12
47065,Hamilton,21,21,28,10,11,14,14,13,17,13,9,11,13,10,9,9,12
51735,Poquoson,18,21,39,18,11,12,14,14,18,16,15,17,11,10,10,15,15
51095,James City,18,42,39,18,11,12,13,20,23,11,12,22,10,13,10,11,15
22019,Calcasieu,18,14,39,23,15,11,20,15,19,12,20,14,21,13,13,12,15
22105,Tangipahoa,18,15,39,30,25,12,29,15,15,15,17,14,14,13,12,22,17
51179,Stafford,22,22,37,17,9,9,14,33,14,12,15,12,12,13,14,10,14
48361,Orange,21,17,40,33,14,13,20,15,18,15,20,14,21,15,13,16,16
25015,Hampshire,13,11,23,9,9,10,13,9,10,13,11,8,9,9,11,8,13
37001,Alamance,15,43,28,17,11,11,18,9,33,10,13,26,12,11,10,15,15
25025,Suffolk,33,11,26,13,9,11,13,17,16,15,11,11,9,10,13,12,15
12053,Hernando,18,30,24,14,20,25,18,41,22,20,14,14,26,23,13,12,11
12131,Walton,13,18,16,16,14,12,18,17,18,15,12,20,15,15,20,19,19
12127,Volusia,16,18,19,15,20,22,12,22,16,20,14,22,17,10,18,11,12
40017,Canadian,22,55,20,29,23,15,35,18,18,17,26,18,38,29,14,17,16
13115,Floyd,21,18,28,12,8,11,15,13,15,16,9,12,13,15,9,12,12
9007,Middlesex,12,21,19,14,9,15,14,10,17,13,11,11,9,9,13,9,13
37057,Davidson,14,43,28,17,10,11,18,10,18,9,11,14,17,11,13,10,14
31043,Dakota,34,13,40,20,20,20,12,11,29,11,14,27,20,25,10,18,17
39017,Butler,24,14,16,11,8,13,10,17,13,15,9,9,9,14,10,16,11
13063,Clayton,17,28,28,12,10,11,24,13,19,19,14,13,14,18,11,10,12
13073,Columbia,22,33,39,16,10,12,30,11,19,11,12,13,14,13,12,12,12
42043,Dauphin,16,21,20,12,8,10,14,14,11,9,9,10,9,7,11,8,10
54079,Putnam,13,12,15,16,10,9,16,9,15,18,10,10,8,10,8,19,13
34037,Sussex,16,20,28,10,9,10,14,17,10,15,11,16,9,9,11,9,12
39133,Portage,15,14,14,10,11,14,16,13,13,8,8,10,8,10,9,8,7
41005,Clackamas,34,42,32,36,20,18,36,17,28,25,21,34,21,27,23,23,24
21209,Scott,24,12,16,11,9,14,15,17,14,10,12,12,14,11,10,16,10
18003,Allen,17,12,13,20,8,18,14,8,13,12,10,10,11,14,14,10,14
49005,Cache,36,23,26,23,23,15,23,15,47,21,23,22,10,20,29,18,14
17113,McLean,18,12,16,15,13,15,14,9,13,11,8,11,12,12,13,10,11
23001,Androscoggin,9,11,16,11,13,12,8,11,10,15,11,8,10,10,11,13,10
16055,Kootenai,30,51,21,16,18,12,22,22,30,17,13,24,16,21,17,19,27
32003,Clark,51,148,61,114,76,68,34,34,46,48,46,27,42,35,48,57,27
55063,La Crosse,12,13,16,11,18,18,10,7,11,7,18,20,13,15,14,9,12
36091,Saratoga,9,16,19,7,9,9,13,8,11,13,11,8,10,9,11,8,12
48041,Brazos,21,18,26,20,14,13,19,17,14,13,33,26,18,16,13,19,29
24001,Allegany,13,21,17,13,8,9,14,11,11,12,10,14,10,7,8,11,10
13089,DeKalb,17,28,28,12,10,11,24,13,20,13,11,13,14,18,17,13,12
24510,Baltimore,21,21,29,18,6,10,13,21,15,13,14,11,9,13,16,11,15
5085,Lonoke,18,20,15,10,10,16,21,17,18,12,16,15,14,12,21,17,13
48245,Jefferson,21,17,27,23,22,12,20,14,14,12,24,14,21,10,13,12,13
48027,Bell,39,23,26,19,14,14,26,21,37,18,27,15,28,16,16,17,44
36075,Oswego,14,17,15,10,9,9,14,9,12,11,16,8,10,8,8,11,12
36111,Ulster,17,21,19,10,12,11,13,17,11,13,11,10,9,8,8,8,13
34007,Camden,21,21,28,17,14,14,20,18,24,25,15,19,19,27,28,21,19
51085,Hanover,19,22,37,22,8,11,14,20,23,10,15,15,8,8,11,10,15
48215,Hidalgo,42,44,28,36,34,23,22,29,29,47,26,20,54,23,28,26,43
37109,Lincoln,13,38,28,16,11,11,27,8,18,9,12,10,17,10,10,15,12
5091,Miller,20,18,33,15,24,16,17,17,16,12,19,15,13,16,21,14,24
12095,Orange,23,18,19,13,20,16,20,24,20,20,16,16,17,15,13,11,13
13045,Carroll,21,28,28,12,10,11,15,15,19,19,12,12,13,18,11,12,12
20161,Riley,31,14,25,11,13,13,29,12,20,13,10,19,16,17,15,18,15
37027,Caldwell,11,20,28,11,11,11,15,9,19,12,10,11,11,9,10,10,12
18173,Warrick,18,15,16,10,9,26,14,12,15,14,11,9,11,11,9,10,11
48181,Grayson,24,46,27,26,25,16,18,21,18,17,27,15,33,14,16,23,36
1033,Colbert,26,27,28,10,8,15,22,13,18,15,12,14,19,15,9,12,15
