GEOID,NAME,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
31109,Lancaster,8.2958,6.4794,9.5452,11.0074,9.3411,8.5186,12.3493,7.4838,9.4198,8.4128,7.5734,5.7679,5.3442,18.0191,8.9773,8.9248,9.2755
46099,Minnehaha,5.9927,6.8436,8.2208,10.1957,10.7998,11.9354,6.318,9.4527,12.314,8.9205,5.9717,8.6298,8.7293,8.9858,7.7871,10.4307,10.6606
39003,Allen,4.9832,7.8076,6.0481,6.1053,7.8609,8.4357,7.4814,5.0135,12.3568,5.4252,8.3447,8.7273,10.1982,8.5306,6.713,6.3269,5.0635
42007,Beaver,11.4145,6.6308,9.0068,12.5483,8.0416,10.7461,8.6766,8.5879,7.8894,5.3224,8.5965,5.6984,8.2096,7.904,9.8794,6.5448,9.7538
37037,Chatham,5.5818,6.6793,6.1896,7.164,7.2961,5.7518,8.1469,11.7977,7.2979,6.5555,5.5697,9.6398,7.732,6.7366,7.9502,9.1159,5.6991
39085,Lake,7.3365,6.6846,6.1305,6.2413,11.3257,5.4478,7.5429,7.1998,7.3367,5.9518,8.5692,6.1306,8.3293,7.7173,6.87,5.0647,9.4791
51775,Salem,9.6622,5.6906,7.898,7.8412,6.3702,7.1711,7.1282,12.767,8.1635,12.8086,6.4408,9.752,5.6274,6.5669,9.1475,9.9734,6.3656
51121,Montgomery,8.3302,6.4884,8.3992,5.7235,6.8335,7.2142,5.6097,10.9413,8.2993,8.7823,5.8799,8.2549,5.2966,5.3004,8.1259,5.7545,6.5247
47065,Hamilton,4.9148,5.7694,8.3921,8.6124,5.5024,7.9165,7.9008,6.6887,6.9469,5.0562,6.7402,6.6428,7.1953,9.138,7.3236,8.8894,8.2464
51735,Poquoson,5.1643,9.5916,9.8261,6.744,4.6969,5.7613,7.8954,10.1068,11.5011,6.8525,9.4577,9.8038,6.0492,9.3119,9.1301,8.786,6.6251
51095,James City,6.9437,9.844,11.7409,9.6236,5.4664,6.1998,9.5488,10.5666,9.5416,7.2545,8.6302,8.8869,6.68,10.0493,11.2053,10.304,6.6591
22019,Calcasieu,8.7287,5.392,7.5316,6.7769,3.9001,7.1606,5.2157,9.376,7.42,6.3886,9.0134,5.5597,8.8911,6.5206,6.8003,11.2763,7.3421
22105,Tangipahoa,9.892,4.9545,12.2495,5.0698,9.5078,6.0798,5.8022,4.1219,6.1645,4.4802,5.7288,4.2676,5.2208,7.3657,6.6812,8.8108,6.8445
51179,Stafford,5.7502,5.3887,9.9926,6.9537,6.1832,8.1353,13.1195,12.5248,7.0234,11.0373,9.059,12.778,6.7004,6.602,9.4179,7.9503,5.8388
48361,Orange,8.6198,6.9393,9.3536,9.7173,7.2844,9.5033,9.9844,10.8465,7.9662,6.6189,10.1306,6.6634,10.4953,6.2016,5.8469,12.4591,9.4926
25015,Hampshire,12.0383,6.2791,8.5637,7.4755,8.1551,4.385,4.9965,6.0925,7.2967,6.2245,6.01,5.4547,5.7992,10.3972,6.8789,6.8773,7.2364
37001,Alamance,5.9344,5.2172,5.6545,6.1627,6.7751,6.8394,8.7194,8.4931,8.0608,7.234,8.9421,7.1728,9.1249,8.3817,4.3561,12.0583,4.989
25025,Suffolk,9.3641,11.7038,13.1631,9.8503,10.9117,7.1933,11.504,10.9403,11.698,10.1292,7.5873,7.4487,6.0979,11.3274,7.9406,15.3464,10.4528
12053,Hernando,3.5959,4.5113,3.2209,4.1437,5.7135,3.9718,4.8011,5.8215,7.432,3.1757,6.182,3.8655,5.6921,12.6983,6.6385,3.6381,6.8097
12131,Walton,3.9494,5.2844,7.347,4.1428,4.2762,4.8992,9.7944,5.0561,4.3862,4.8172,6.983,4.6329,9.3817,8.8359,7.9514,9.5716,6.0045
12127,Volusia,4.5438,3.8895,3.4889,4.258,5.0315,5.5761,5.2492,7.3256,6.2128,4.202,5.3,4.5554,5.4822,9.0964,6.6393,3.8153,4.9661
40017,Canadian,11.3302,5.9907,12.2835,9.6088,7.5338,7.4419,10.488,15.2058,7.4545,17.3072,10.9687,11.6188,11.2634,9.0072,10.8187,8.5813,11.2766
13115,Floyd,5.8029,8.4973,6.2238,5.6759,6.2495,4.7225,9.4713,6.7621,7.5052,5.4462,8.7949,7.9294,5.872,6.2903,6.8589,5.4638,6.7472
9007,Middlesex,8.1873,6.5751,16.548,9.3371,5.9101,7.2118,9.7643,7.7715,8.4777,6.5349,6.1562,6.0017,6.3521,7.0236,7.9001,10.0848,8.8076
37057,Davidson,5.7971,5.6641,5.3273,6.7543,6.5198,7.7316,7.7664,10.0496,6.268,5.3989,6.3385,6.3975,7.2034,7.6579,5.8825,14.5609,6.1336
31043,Dakota,6.3629,8.1193,5.6388,14.1801,7.0596,8.3662,6.1963,10.7258,13.3422,6.1559,6.7713,8.3838,8.2808,9.3963,7.6762,12.9235,6.1301
39017,Butler,5.0099,7.0158,9.8036,8.0901,7.0106,8.2771,9.109,7.4619,6.6309,11.3063,7.7089,6.9038,9.1943,10.3525,6.7673,6.1691,4.9475
13063,Clayton,4.3362,5.9919,8.7443,6.451,7.0931,8.642,12.6592,14.7802,4.6203,5.426,6.9347,8.6069,5.2716,7.0079,6.1337,9.1482,7.2209
13073,Columbia,9.0408,5.6603,10.7154,5.9768,5.4289,7.0003,6.245,7.5952,8.7874,5.6595,7.3613,6.4206,5.1085,6.5058,4.3961,8.1008,9.4161
42043,Dauphin,11.0805,6.1782,7.1014,7.8871,5.8548,7.4583,9.0431,9.2978,7.3565,8.3416,6.7375,9.5738,8.3125,7.4856,6.6567,5.886,5.6771
54079,Putnam,6.0538,4.8132,6.6746,10.1006,7.0166,9.6601,5.9719,10.1173,9.043,7.3134,7.9183,7.1629,7.7382,5.9844,7.6592,7.4527,6.501
34037,Sussex,6.709,6.9489,8.032,8.1206,7.1011,6.6905,10.3088,7.7568,10.9831,9.0011,6.001,7.7503,8.4592,6.1148,7.0948,9.4539,7.8456
39133,Portage,8.959,7.3237,5.7266,8.1625,7.57,6.9096,10.905,10.8191,8.4957,5.6124,8.8432,6.4216,7.7696,6.7965,9.717,7.0679,6.5235
41005,Clackamas,11.5518,15.8239,8.0116,15.4754,12.4042,15.275,10.4576,12.8687,8.3406,12.7644,7.9715,12.8511,6.7757,7.5118,11.2366,10.5625,12.235
21209,Scott,5.5526,8.112,7.3602,12.7893,8.8237,10.0869,5.9011,7.5221,9.9768,11.0941,5.996,6.9375,7.6465,8.4075,7.5982,8.3879,7.469
18003,Allen,7.3855,7.2653,5.4314,7.4722,7.3332,10.0095,8.3013,7.6462,13.1654,6.7736,7.0669,5.5734,8.6379,10.2906,7.2484,6.713,5.6261
49005,Cache,10.4962,9.7636,13.0569,9.4285,9.6377,14.5295,16.4138,10.8298,17.7909,9.8744,6.2683,11.6012,8.3027,5.5402,7.9199,14.6016,11.5493
17113,McLean,7.023,8.5297,7.3084,6.9087,10.4144,8.8055,7.5758,5.7859,9.947,6.4858,6.5451,5.4962,7.4077,12.6305,6.0882,6.4157,5.2967
23001,Androscoggin,7.3894,10.5154,13.0324,11.4837,7.2766,6.2516,7.3843,6.462,8.6571,5.6969,7.8841,6.3507,4.7166,13.5793,5.9485,8.3759,7.4964
16055,Kootenai,11.5848,15.3232,8.7304,11.6279,8.9779,6.4562,7.258,11.6174,11.5562,8.0101,9.4722,6.5061,6.4803,6.1989,16.1521,10.7355,20.9218
32003,Clark,11.9278,11.0169,15.3529,18.6049,13.9591,24.6548,13.1659,5.8963,11.9497,16.4702,12.0508,14.4008,14.4302,9.3695,10.42,10.2253,9.3074
