GEOID,NAME,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
31109,,,,,,,,,,,,,,,,,,
46099,,,,,,,,,,,,,,,,,,
39003,,,,,,,,,,,,,,,,,,
42007,,,,,,,,,,,,,,,,,,
37037,,,,,,,,,1.3922225054259125,,,,,,,,,
39085,,,,,,,,,,,,,,,,,,
51775,,,,,,,,,,,,,,,,,,
51121,,,,,,,,,,,,,,,,,,
47065,,,,,,,,,,,,,,,,,,
51735,,1.3407911078688506,1.151203440652944,1.3262910304143154,1.0845080874044961,1.1421711212794359,1.20681129908077,1.2150308251389823,1.4258173712280486,1.2479850241936745,1.1858116165657755,1.4361693303265968,1.4436036972065027,1.4930157125408428,,1.222764295873598,1.348292240690481,
51095,,,,,,,,,,,,,,,,,,
22019,,1.3342112861929485,1.3743660967351201,1.3006722566037163,1.2084664172828654,1.2180671608199203,1.2783991913719899,1.364265006989778,1.3480727682226505,1.0781040069800665,1.0929087257033656,1.1930436701100386,1.2353868387751874,1.3892637501130194,,1.4873190495114024,1.254066689935581,1.2630345539119512
22105,,1.4191710935436346,1.333650808355859,,1.1820416722480667,1.3806477868624494,1.291284461036688,1.4099935637805023,1.4347728936072492,1.2708174484604402,1.3092705953013188,1.161985018651488,,1.4903621857155886,,1.319675097366471,,1.246900511584179
51179,,,,,,,,,,,,,,,,,,
48361,,1.3161740821633205,1.3833464790013639,1.3096221449036731,1.2723946815101854,1.492993766032127,1.4780007952385796,1.6268870638266324,1.7330278316094903,1.327619853413822,1.410049235587407,1.436942412375642,1.4337877790090654,1.4872087977497266,,1.698985620689771,1.3463885996599236,1.569047104717247
25015,,,,,,,,,,,,,,,,,,
37001,,,,,,,,,,,,,,,,,,
25025,,,,,,,,,,,,,,,,,,
12053,,0.9826784579332521,1.113320405850959,1.1453459139832698,0.911669211860625,1.0221199882404457,1.2654951608833476,1.0272620337756946,1.268956592233416,1.0988031269045884,1.0859630152715372,1.0911328963165303,1.141511458732245,1.4061102010424869,,1.0161878810338774,1.024562720208292,1.0087079995213486
