GEOID,NAME,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
31109,Lancaster,1,1,1,2,7,3,7,10,9,8,3,3,3,8,7,6,4
46099,Minnehaha,3,3,1,1,9,4,12,11,11,9,5,4,4,5,7,6,6
39003,Allen,3,1,3,3,12,11,8,11,18,11,7,10,9,12,11,14,8
42007,Beaver,3,0,3,2,2,0,4,6,13,5,2,7,4,6,4,5,5
37037,Chatham,0,0,1,2,4,2,7,7,8,12,2,7,8,6,1,6,9
39085,Lake,2,0,1,4,8,7,9,9,12,4,6,13,9,14,6,10,6
51775,Salem,1,0,3,1,10,3,5,11,11,16,10,13,6,7,4,11,5
51121,Montgomery,0,0,3,1,9,1,5,7,9,10,8,10,4,6,2,10,1
47065,Hamilton,1,1,4,0,4,4,6,9,4,9,3,3,4,11,1,6,2
51735,Poquoson,1,0,2,1,6,3,3,7,1,4,2,13,8,1,1,4,2
51095,James City,1,0,3,2,5,3,4,7,4,5,10,14,10,6,4,11,6
22019,Calcasieu,0,0,0,0,0,0,3,5,1,1,0,3,1,3,2,3,4
22105,Tangipahoa,0,0,2,0,0,0,0,5,1,0,4,3,4,3,0,1,4
51179,Stafford,1,0,2,2,6,5,8,8,10,7,2,13,7,8,2,9,7
48361,Orange,1,0,2,1,0,2,3,5,1,3,2,5,3,4,5,5,5
25015,Hampshire,1,0,2,2,3,5,6,1,3,3,1,9,4,12,6,13,4
37001,Alamance,1,0,2,1,4,2,8,6,8,12,5,8,8,5,1,10,7
25025,Suffolk,2,0,1,3,6,10,9,9,10,5,6,13,6,10,2,19,16
12053,Hernando,1,0,0,0,0,0,0,4,1,0,1,3,3,2,0,1,0
12131,Walton,0,0,0,0,0,2,0,2,1,1,3,2,1,5,0,2,0
12127,Volusia,0,0,0,0,1,1,2,3,2,0,3,1,2,3,0,1,2
40017,Canadian,1,2,6,3,15,13,15,19,13,14,10,8,15,15,9,9,13
13115,Floyd,1,1,4,0,4,3,4,9,8,7,6,3,4,6,3,5,5
9007,Middlesex,1,0,2,3,2,5,5,4,7,1,2,15,5,1,3,13,4
37057,Davidson,1,0,2,2,5,0,5,6,7,11,3,5,3,8,1,8,5
31043,Dakota,1,1,4,2,14,10,12,12,13,7,7,7,8,11,10,9,9
39017,Butler,3,0,4,3,8,6,7,6,15,6,5,8,3,11,5,9,5
13063,Clayton,2,1,3,1,5,2,5,8,5,5,4,5,2,11,2,4,3
13073,Columbia,2,0,3,0,3,2,7,11,6,9,3,6,3,10,0,3,3
42043,Dauphin,0,0,4,2,3,2,7,7,8,1,3,8,4,6,3,8,10
54079,Putnam,3,0,3,1,4,3,3,7,12,9,4,10,2,4,2,9,5
34037,Sussex,0,0,2,3,4,7,9,7,9,5,1,15,6,8,4,11,2
39133,Portage,2,0,3,2,2,1,7,10,11,2,3,8,5,11,4,10,4
41005,Clackamas,1,5,5,4,24,20,14,21,13,26,14,18,8,10,20,19,28
21209,Scott,3,0,4,2,9,8,14,10,16,14,7,13,7,14,2,11,6
18003,Allen,3,1,2,3,8,8,9,7,15,6,5,7,6,13,9,12,7
49005,Cache,2,4,7,3,14,10,15,7,19,22,8,14,6,5,11,13,17
17113,McLean,2,1,1,2,10,4,9,7,14,6,3,4,5,10,6,7,5
23001,Androscoggin,1,0,2,3,6,2,3,1,3,4,2,7,6,1,1,11,2
16055,Kootenai,3,1,2,2,14,4,10,13,15,20,8,10,3,4,16,18,30
32003,Clark,2,7,6,3,24,25,21,12,28,24,10,24,12,19,13,19,16
55063,La Crosse,2,1,2,1,8,3,10,9,16,9,4,7,4,11,6,10,19
36091,Saratoga,1,0,2,3,4,4,8,3,4,1,1,9,5,10,5,14,5
48041,Brazos,3,2,3,1,5,4,10,9,4,8,11,7,12,8,8,8,14
24001,Allegany,0,0,3,2,4,2,5,8,9,7,3,6,7,9,1,7,4
13089,DeKalb,2,1,5,0,5,3,3,11,6,8,7,6,2,10,3,4,3
24510,Baltimore,1,0,2,1,5,5,8,4,5,2,7,9,4,5,2,7,8
5085,Lonoke,5,1,3,0,7,5,8,15,6,12,7,9,8,8,10,7,7
48245,Jefferson,1,0,1,1,0,0,2,3,0,2,1,1,1,3,0,2,1
48027,Bell,3,2,6,2,10,7,11,18,5,7,9,10,16,15,13,13,21
36075,Oswego,0,0,3,1,5,8,5,2,6,2,3,10,5,5,3,9,5
36111,Ulster,0,0,3,2,2,4,7,2,6,2,2,11,7,4,5,8,4
34007,Camden,3,0,3,3,7,11,13,10,10,12,6,16,10,13,9,15,8
51085,Hanover,1,0,3,3,5,2,7,6,6,5,5,12,7,6,3,15,6
48215,Hidalgo,3,0,2,1,6,3,6,2,1,6,9,2,11,8,7,12,5
37109,Lincoln,0,0,2,3,5,1,5,8,7,7,5,6,4,9,4,3,3
5091,Miller,3,1,3,0,4,4,8,17,6,8,14,8,11,11,13,12,15
12095,Orange,1,0,0,0,0,0,2,2,2,0,1,3,2,4,0,1,2
13045,Carroll,0,1,4,1,4,5,4,9,6,5,4,4,5,8,2,4,2
20161,Riley,1,2,1,2,10,7,14,7,7,5,6,5,3,12,6,9,7
37027,Caldwell,0,0,2,1,4,1,3,4,5,9,1,6,3,5,1,1,1
