GEOID,NAME,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
31109,Lancaster,1.6129,1.6129,1.6129,3.2258,11.2903,4.8387,11.2903,16.129,14.5161,12.9032,4.8387,4.8387,4.8387,12.9032,11.2903,9.6774,6.4516
46099,Minnehaha,4.8387,4.8387,1.6129,1.6129,14.5161,6.4516,19.3548,17.7419,17.7419,14.5161,8.0645,6.4516,6.4516,8.0645,11.2903,9.6774,9.6774
39003,Allen,4.8387,1.6129,4.8387,4.8387,19.3548,17.7419,12.9032,17.7419,29.0323,17.7419,11.2903,16.129,14.5161,19.3548,17.7419,22.5806,12.9032
42007,Beaver,4.8387,0.0,4.8387,3.2258,3.2258,0.0,6.4516,9.6774,20.9677,8.0645,3.2258,11.2903,6.4516,9.6774,6.4516,8.0645,8.0645
37037,Chatham,0.0,0.0,1.6129,3.2258,6.4516,3.2258,11.2903,11.2903,12.9032,19.3548,3.2258,11.2903,12.9032,9.6774,1.6129,9.6774,14.5161
39085,Lake,3.2258,0.0,1.6129,6.4516,12.9032,11.2903,14.5161,14.5161,19.3548,6.4516,9.6774,20.9677,14.5161,22.5806,9.6774,16.129,9.6774
51775,Salem,1.6129,0.0,4.8387,1.6129,16.129,4.8387,8.0645,17.7419,17.7419,25.8065,16.129,20.9677,9.6774,11.2903,6.4516,17.7419,8.0645
51121,Montgomery,0.0,0.0,4.8387,1.6129,14.5161,1.6129,8.0645,11.2903,14.5161,16.129,12.9032,16.129,6.4516,9.6774,3.2258,16.129,1.6129
47065,Hamilton,1.6129,1.6129,6.4516,0.0,6.4516,6.4516,9.6774,14.5161,6.4516,14.5161,4.8387,4.8387,6.4516,17.7419,1.6129,9.6774,3.2258
51735,Poquoson,1.6129,0.0,3.2258,1.6129,9.6774,4.8387,4.8387,11.2903,1.6129,6.4516,3.2258,20.9677,12.9032,1.6129,1.6129,6.4516,3.2258
51095,James City,1.6129,0.0,4.8387,3.2258,8.0645,4.8387,6.4516,11.2903,6.4516,8.0645,16.129,22.5806,16.129,9.6774,6.4516,17.7419,9.6774
