Year,Dry 8 Bins,Dry 12 Bins,Wet 8 Bins,Wet 12 Bins
1999,1.568101977242506,1.568101977242506,1.568101977242506,1.568101977242506
2000,1.300429982353032,1.3004299823530319,1.300429982353032,1.3004299823530319
2001,1.6718585778690715,1.8548539801918287,1.6718585778690715,1.8548539801918285
2002,1.5621855721340254,1.5621855721340256,1.5621855721340254,1.5621855721340254
2003,1.426652584678244,1.8180723316551077,1.426652584678244,1.8180723316551075
2004,1.235789701503748,1.6373465783625956,1.2403037702263537,1.6398373190151294
2005,1.6297475119005629,2.0077259842199315,1.6297475119005629,2.0077259842199315
2006,1.5529215384940382,1.8764061771652998,1.5688540742882964,1.8859833918080837
2007,1.6625278220883044,2.031350076525591,1.6625278220883044,2.031350076525591
2008,1.413934607966922,1.8069679987842386,1.4875471438443149,1.8454510833846347
2009,1.4839128978083356,1.8907257998945728,1.4839128978083356,1.8907257998945728
2010,1.4606908823309528,1.8017043754239987,1.4745600126930487,1.8128549911818193
2011,1.6127078106147166,2.008124418651913,1.6127078106147166,2.0081244186519136
2012,1.5668747185399192,1.9247992972942707,1.5668747185399192,1.9247992972942705
2013,1.4372323316395466,1.820698924510352,1.4372323316395466,1.820698924510352
2014,1.4806655581223473,1.8381543258088562,1.4806655581223473,1.874927724637904
2015,1.3962248200440406,1.7588212513923211,1.3962248200440406,1.7659147822158465
